contracts=hợp đồng/danh từ
determine=xác định/động từ | hợp đồng
conviction=sự cáo buộc/danh từ | hợp đồng
sign=ký tên/động từ | hợp đồng
engage in something=tham gia vào, tiến hành làm/động từ | hợp đồng
establish=thành lập/động từ | hợp đồng
party=bên, đối tác/danh từ | hợp đồng
provision=điều khoản/danh từ | hợp đồng
resolve=xử lí, giải quyết/động từ | hợp đồng
agreement=sự thỏa thuận, hợp đồng/danh từ | hợp đồng
abide by=tuân thủ/động từ | hợp đồng
testimonium clause=điều khoản kết thúc hợp đồng/danh từ | hợp đồng
translate=dịch/động từ | hợp đồng
renew=gia hạn/động từ | hợp đồng
bankruptcy=sự vỡ nợ, sự phá sản/danh từ | hợp đồng
hesitate=do dự, ngần ngại/động từ | hợp đồng
specific=rõ ràng, cụ thể/ tính từ | hợp đồng
assurance=sự bảo đảm/danh từ | hợp đồng
appreciate=coi trọng, đánh giá cao/động từ | hợp đồng
obligate=bắt buộc/động từ | hợp đồng
cancellation=sự hủy bỏ/danh từ | hợp đồng
signature=chữ ký/danh từ | hợp đồng
